key_resp.keys,key_resp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,participant,Condition,Estimate,Alder,Køn,Har De kørekort? (ja/nej),Hvor mange timer om ugen kører De cirka?,Hvor mange timer computer/xbox/andet spiller De om ugen? ,date,expName,psychopyVersion,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,dis_loop.thisRepN,dis_loop.thisTrialN,dis_loop.thisN,dis_loop.thisIndex,dis_loop.ran,dis_loop.order,wordpairs,ratespeed1.response,ratespeed1.rt,loopcon.thisRepN,loopcon.thisTrialN,loopcon.thisN,loopcon.thisIndex,loopcon.ran,loopcon.order,key_resp_4.keys,key_resp_4.rt,ratespeed2.response,ratespeed2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt
space,3.881000042,1,0,1,0,1,0,73,B,2,23,Mand,Ja,1,5,2019-12-11_22h15.41.059,Eksperiment-final,3.1.5,60,IwAR1TzzDcV8CtQshXLLAMTP3ZYLNUNCiEvbb6-_mAVsxm-LfEnYtQc3pZhos,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,73,B,2,23,Mand,Ja,1,5,2019-12-11_22h15.41.059,Eksperiment-final,3.1.5,60,IwAR1TzzDcV8CtQshXLLAMTP3ZYLNUNCiEvbb6-_mAVsxm-LfEnYtQc3pZhos,space,7.417000055,1,0,6,1,1,5,suppe - blomst,,,,,,,,,,,,,,,,
,,,,,,,,73,B,2,23,Mand,Ja,1,5,2019-12-11_22h15.41.059,Eksperiment-final,3.1.5,60,IwAR1TzzDcV8CtQshXLLAMTP3ZYLNUNCiEvbb6-_mAVsxm-LfEnYtQc3pZhos,,,1,0,6,5,1,5,plakat - vindue,,,,,,,,,,,,,,,,
,,,,,,,,73,B,2,23,Mand,Ja,1,5,2019-12-11_22h15.41.059,Eksperiment-final,3.1.5,60,IwAR1TzzDcV8CtQshXLLAMTP3ZYLNUNCiEvbb6-_mAVsxm-LfEnYtQc3pZhos,,,1,0,6,3,1,5,gardin - cykel,,,,,,,,,,,,,,,,
,,,,,,,,73,B,2,23,Mand,Ja,1,5,2019-12-11_22h15.41.059,Eksperiment-final,3.1.5,60,IwAR1TzzDcV8CtQshXLLAMTP3ZYLNUNCiEvbb6-_mAVsxm-LfEnYtQc3pZhos,,,1,0,6,2,1,5,taske - sten,,,,,,,,,,,,,,,,
,,,,,,,,73,B,2,23,Mand,Ja,1,5,2019-12-11_22h15.41.059,Eksperiment-final,3.1.5,60,IwAR1TzzDcV8CtQshXLLAMTP3ZYLNUNCiEvbb6-_mAVsxm-LfEnYtQc3pZhos,,,1,0,6,4,1,5,tante - skraldespand,,,,,,,,,,,,,,,,
,,,,,,,,73,B,2,23,Mand,Ja,1,5,2019-12-11_22h15.41.059,Eksperiment-final,3.1.5,60,IwAR1TzzDcV8CtQshXLLAMTP3ZYLNUNCiEvbb6-_mAVsxm-LfEnYtQc3pZhos,,,1,0,6,0,1,5,kat - båd,,,,,,,,,,,,,,,,
,,,,,,,,73,B,2,23,Mand,Ja,1,5,2019-12-11_22h15.41.059,Eksperiment-final,3.1.5,60,IwAR1TzzDcV8CtQshXLLAMTP3ZYLNUNCiEvbb6-_mAVsxm-LfEnYtQc3pZhos,,,,,,,,,,2.171296332,16.91200018,1,0,1,0,1,0,,,,,,,,
,,,,,,,,73,B,2,23,Mand,Ja,1,5,2019-12-11_22h15.41.059,Eksperiment-final,3.1.5,60,IwAR1TzzDcV8CtQshXLLAMTP3ZYLNUNCiEvbb6-_mAVsxm-LfEnYtQc3pZhos,,,,,,,,,,,,,,,,,,n,5.83100009,,,j,9.812000036,space,2.879000187
