key_resp.keys,key_resp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,participant,Condition,Estimate,Alder,Køn,Har De kørekort? (ja/nej),Hvor mange timer om ugen kører De cirka?,Hvor mange timer computer/xbox/andet spiller De om ugen? ,date,expName,psychopyVersion,frameRate,key_resp_2.keys,key_resp_2.rt,dis_loop.thisRepN,dis_loop.thisTrialN,dis_loop.thisN,dis_loop.thisIndex,dis_loop.ran,dis_loop.order,wordpairs,ratespeed1.response,ratespeed1.rt,loopcon.thisRepN,loopcon.thisTrialN,loopcon.thisN,loopcon.thisIndex,loopcon.ran,loopcon.order,key_resp_4.keys,key_resp_4.rt,ratespeed2.response,ratespeed2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt
space,2.880000114,1,0,1,0,1,0,76,B,1,46,Kvinde,ja,7,5,2019-12-11_12h28.36.891,Eksperiment-final,3.1.5,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,76,B,1,46,Kvinde,ja,7,5,2019-12-11_12h28.36.891,Eksperiment-final,3.1.5,60,space,6.258000135,1,0,6,4,1,5,tante - skraldespand,,,,,,,,,,,,,,,,
,,,,,,,,76,B,1,46,Kvinde,ja,7,5,2019-12-11_12h28.36.891,Eksperiment-final,3.1.5,60,,,1,0,6,1,1,5,suppe - blomst,,,,,,,,,,,,,,,,
,,,,,,,,76,B,1,46,Kvinde,ja,7,5,2019-12-11_12h28.36.891,Eksperiment-final,3.1.5,60,,,1,0,6,2,1,5,taske - sten,,,,,,,,,,,,,,,,
,,,,,,,,76,B,1,46,Kvinde,ja,7,5,2019-12-11_12h28.36.891,Eksperiment-final,3.1.5,60,,,1,0,6,5,1,5,plakat - vindue,,,,,,,,,,,,,,,,
,,,,,,,,76,B,1,46,Kvinde,ja,7,5,2019-12-11_12h28.36.891,Eksperiment-final,3.1.5,60,,,1,0,6,0,1,5,kat - båd,,,,,,,,,,,,,,,,
,,,,,,,,76,B,1,46,Kvinde,ja,7,5,2019-12-11_12h28.36.891,Eksperiment-final,3.1.5,60,,,1,0,6,3,1,5,gardin - cykel,,,,,,,,,,,,,,,,
,,,,,,,,76,B,1,46,Kvinde,ja,7,5,2019-12-11_12h28.36.891,Eksperiment-final,3.1.5,60,,,,,,,,,,4.007080078,5.919999838,1,0,1,0,1,0,,,,,,,,
,,,,,,,,76,B,1,46,Kvinde,ja,7,5,2019-12-11_12h28.36.891,Eksperiment-final,3.1.5,60,,,,,,,,,,,,,,,,,,n,4.289000034,,,n,3.996000051,space,2.917000055
