key_resp.keys,key_resp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,participant,Condition,Estimate,Alder,Køn,Har De kørekort? (ja/nej),Hvor mange timer om ugen kører De cirka?,Hvor mange timer computer/xbox/andet spiller De om ugen? ,date,expName,psychopyVersion,frameRate,key_resp_2.keys,key_resp_2.rt,dis_loop.thisRepN,dis_loop.thisTrialN,dis_loop.thisN,dis_loop.thisIndex,dis_loop.ran,dis_loop.order,wordpairs,ratespeed1.response,ratespeed1.rt,loopcon.thisRepN,loopcon.thisTrialN,loopcon.thisN,loopcon.thisIndex,loopcon.ran,loopcon.order,key_resp_4.keys,key_resp_4.rt,ratespeed2.response,ratespeed2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt
space,4.753999949,1,0,1,0,1,0,60,B,1,16,Kvinde,nej,0,0,2019-12-10_20h54.42.277,Eksperiment-final,3.1.5,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,60,B,1,16,Kvinde,nej,0,0,2019-12-10_20h54.42.277,Eksperiment-final,3.1.5,60,space,9.494999886,1,0,6,4,1,5,tante - skraldespand,,,,,,,,,,,,,,,,
,,,,,,,,60,B,1,16,Kvinde,nej,0,0,2019-12-10_20h54.42.277,Eksperiment-final,3.1.5,60,,,1,0,6,0,1,5,kat - båd,,,,,,,,,,,,,,,,
,,,,,,,,60,B,1,16,Kvinde,nej,0,0,2019-12-10_20h54.42.277,Eksperiment-final,3.1.5,60,,,1,0,6,1,1,5,suppe - blomst,,,,,,,,,,,,,,,,
,,,,,,,,60,B,1,16,Kvinde,nej,0,0,2019-12-10_20h54.42.277,Eksperiment-final,3.1.5,60,,,1,0,6,5,1,5,plakat - vindue,,,,,,,,,,,,,,,,
,,,,,,,,60,B,1,16,Kvinde,nej,0,0,2019-12-10_20h54.42.277,Eksperiment-final,3.1.5,60,,,1,0,6,2,1,5,taske - sten,,,,,,,,,,,,,,,,
,,,,,,,,60,B,1,16,Kvinde,nej,0,0,2019-12-10_20h54.42.277,Eksperiment-final,3.1.5,60,,,1,0,6,3,1,5,gardin - cykel,,,,,,,,,,,,,,,,
,,,,,,,,60,B,1,16,Kvinde,nej,0,0,2019-12-10_20h54.42.277,Eksperiment-final,3.1.5,60,,,,,,,,,,3.404760742,10.38499999,1,0,1,0,1,0,,,,,,,,
,,,,,,,,60,B,1,16,Kvinde,nej,0,0,2019-12-10_20h54.42.277,Eksperiment-final,3.1.5,60,,,,,,,,,,,,,,,,,,n,7.630000114,,,n,8.135999918,space,3.282999992
