key_resp.keys,key_resp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,participant,Condition,Estimate,Alder,Køn,Har De kørekort? (ja/nej),Hvor mange timer om ugen kører De cirka?,Hvor mange timer computer/xbox/andet spiller De om ugen? ,date,expName,psychopyVersion,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,dis_loop.thisRepN,dis_loop.thisTrialN,dis_loop.thisN,dis_loop.thisIndex,dis_loop.ran,dis_loop.order,wordpairs,ratespeed1.response,ratespeed1.rt,loopcon.thisRepN,loopcon.thisTrialN,loopcon.thisN,loopcon.thisIndex,loopcon.ran,loopcon.order,key_resp_4.keys,key_resp_4.rt,ratespeed2.response,ratespeed2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt
space,2.924999952,1,0,1,0,1,0,83,A,2,17 ,Kvinde,"Nej, men tager kørekort ","4,5",2,2019-12-12_10h04.31.887,Eksperiment-final,3.1.5,60,IwAR25mpw59P-Sdyjet67MgTvTRWyRifnpB1VMgH6X6v-mx-BOUZ6818sEhYE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,83,A,2,17 ,Kvinde,"Nej, men tager kørekort ","4,5",2,2019-12-12_10h04.31.887,Eksperiment-final,3.1.5,60,IwAR25mpw59P-Sdyjet67MgTvTRWyRifnpB1VMgH6X6v-mx-BOUZ6818sEhYE,space,6.137000084,1,0,6,4,1,5,tante - skraldespand,,,,,,,,,,,,,,,,
,,,,,,,,83,A,2,17 ,Kvinde,"Nej, men tager kørekort ","4,5",2,2019-12-12_10h04.31.887,Eksperiment-final,3.1.5,60,IwAR25mpw59P-Sdyjet67MgTvTRWyRifnpB1VMgH6X6v-mx-BOUZ6818sEhYE,,,1,0,6,3,1,5,gardin - cykel,,,,,,,,,,,,,,,,
,,,,,,,,83,A,2,17 ,Kvinde,"Nej, men tager kørekort ","4,5",2,2019-12-12_10h04.31.887,Eksperiment-final,3.1.5,60,IwAR25mpw59P-Sdyjet67MgTvTRWyRifnpB1VMgH6X6v-mx-BOUZ6818sEhYE,,,1,0,6,5,1,5,plakat - vindue,,,,,,,,,,,,,,,,
,,,,,,,,83,A,2,17 ,Kvinde,"Nej, men tager kørekort ","4,5",2,2019-12-12_10h04.31.887,Eksperiment-final,3.1.5,60,IwAR25mpw59P-Sdyjet67MgTvTRWyRifnpB1VMgH6X6v-mx-BOUZ6818sEhYE,,,1,0,6,2,1,5,taske - sten,,,,,,,,,,,,,,,,
,,,,,,,,83,A,2,17 ,Kvinde,"Nej, men tager kørekort ","4,5",2,2019-12-12_10h04.31.887,Eksperiment-final,3.1.5,60,IwAR25mpw59P-Sdyjet67MgTvTRWyRifnpB1VMgH6X6v-mx-BOUZ6818sEhYE,,,1,0,6,1,1,5,suppe - blomst,,,,,,,,,,,,,,,,
,,,,,,,,83,A,2,17 ,Kvinde,"Nej, men tager kørekort ","4,5",2,2019-12-12_10h04.31.887,Eksperiment-final,3.1.5,60,IwAR25mpw59P-Sdyjet67MgTvTRWyRifnpB1VMgH6X6v-mx-BOUZ6818sEhYE,,,1,0,6,0,1,5,kat - båd,,,,,,,,,,,,,,,,
,,,,,,,,83,A,2,17 ,Kvinde,"Nej, men tager kørekort ","4,5",2,2019-12-12_10h04.31.887,Eksperiment-final,3.1.5,60,IwAR25mpw59P-Sdyjet67MgTvTRWyRifnpB1VMgH6X6v-mx-BOUZ6818sEhYE,,,,,,,,,,4.018518448,5.773000002,1,0,1,0,1,0,,,,,,,,
,,,,,,,,83,A,2,17 ,Kvinde,"Nej, men tager kørekort ","4,5",2,2019-12-12_10h04.31.887,Eksperiment-final,3.1.5,60,IwAR25mpw59P-Sdyjet67MgTvTRWyRifnpB1VMgH6X6v-mx-BOUZ6818sEhYE,,,,,,,,,,,,,,,,,,j,7.575999975,3.421296508,2.835999966,j,8.004999876,space,2.49000001
