key_resp.keys,key_resp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,participant,Condition,Estimate,Alder,Køn,Har De kørekort? (ja/nej),Hvor mange timer om ugen kører De cirka?,Hvor mange timer computer/xbox/andet spiller De om ugen? ,date,expName,psychopyVersion,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,dis_loop.thisRepN,dis_loop.thisTrialN,dis_loop.thisN,dis_loop.thisIndex,dis_loop.ran,dis_loop.order,wordpairs,ratespeed1.response,ratespeed1.rt,loopcon.thisRepN,loopcon.thisTrialN,loopcon.thisN,loopcon.thisIndex,loopcon.ran,loopcon.order,key_resp_4.keys,key_resp_4.rt,ratespeed2.response,ratespeed2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt
space,5.18900013,1,0,1,0,1,0,73,A,2,38,Kvinde,ja,5,0,2019-12-11_12h17.51.678,Eksperiment-final,3.1.5,60,IwAR1ZRYz9rmQ0O9ArXW9ZyzRcV5K6kDJ6-wISd3Fk8U1LWlbXDkPliCvdF1o,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,73,A,2,38,Kvinde,ja,5,0,2019-12-11_12h17.51.678,Eksperiment-final,3.1.5,60,IwAR1ZRYz9rmQ0O9ArXW9ZyzRcV5K6kDJ6-wISd3Fk8U1LWlbXDkPliCvdF1o,space,11.03399992,1,0,6,0,1,5,kat - båd,,,,,,,,,,,,,,,,
,,,,,,,,73,A,2,38,Kvinde,ja,5,0,2019-12-11_12h17.51.678,Eksperiment-final,3.1.5,60,IwAR1ZRYz9rmQ0O9ArXW9ZyzRcV5K6kDJ6-wISd3Fk8U1LWlbXDkPliCvdF1o,,,1,0,6,4,1,5,tante - skraldespand,,,,,,,,,,,,,,,,
,,,,,,,,73,A,2,38,Kvinde,ja,5,0,2019-12-11_12h17.51.678,Eksperiment-final,3.1.5,60,IwAR1ZRYz9rmQ0O9ArXW9ZyzRcV5K6kDJ6-wISd3Fk8U1LWlbXDkPliCvdF1o,,,1,0,6,2,1,5,taske - sten,,,,,,,,,,,,,,,,
,,,,,,,,73,A,2,38,Kvinde,ja,5,0,2019-12-11_12h17.51.678,Eksperiment-final,3.1.5,60,IwAR1ZRYz9rmQ0O9ArXW9ZyzRcV5K6kDJ6-wISd3Fk8U1LWlbXDkPliCvdF1o,,,1,0,6,3,1,5,gardin - cykel,,,,,,,,,,,,,,,,
,,,,,,,,73,A,2,38,Kvinde,ja,5,0,2019-12-11_12h17.51.678,Eksperiment-final,3.1.5,60,IwAR1ZRYz9rmQ0O9ArXW9ZyzRcV5K6kDJ6-wISd3Fk8U1LWlbXDkPliCvdF1o,,,1,0,6,1,1,5,suppe - blomst,,,,,,,,,,,,,,,,
,,,,,,,,73,A,2,38,Kvinde,ja,5,0,2019-12-11_12h17.51.678,Eksperiment-final,3.1.5,60,IwAR1ZRYz9rmQ0O9ArXW9ZyzRcV5K6kDJ6-wISd3Fk8U1LWlbXDkPliCvdF1o,,,1,0,6,5,1,5,plakat - vindue,,,,,,,,,,,,,,,,
,,,,,,,,73,A,2,38,Kvinde,ja,5,0,2019-12-11_12h17.51.678,Eksperiment-final,3.1.5,60,IwAR1ZRYz9rmQ0O9ArXW9ZyzRcV5K6kDJ6-wISd3Fk8U1LWlbXDkPliCvdF1o,,,,,,,,,,2.43055552,6.194000006,1,0,1,0,1,0,,,,,,,,
,,,,,,,,73,A,2,38,Kvinde,ja,5,0,2019-12-11_12h17.51.678,Eksperiment-final,3.1.5,60,IwAR1ZRYz9rmQ0O9ArXW9ZyzRcV5K6kDJ6-wISd3Fk8U1LWlbXDkPliCvdF1o,,,,,,,,,,,,,,,,,,n,5.962000132,,,n,6.343000174,space,6.105000019
