key_resp.keys,key_resp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,participant,Condition,Estimate,Alder,Køn,Har De kørekort? (ja/nej),Hvor mange timer om ugen kører De cirka?,Hvor mange timer computer/xbox/andet spiller De om ugen? ,date,expName,psychopyVersion,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,dis_loop.thisRepN,dis_loop.thisTrialN,dis_loop.thisN,dis_loop.thisIndex,dis_loop.ran,dis_loop.order,wordpairs,ratespeed1.response,ratespeed1.rt,loopcon.thisRepN,loopcon.thisTrialN,loopcon.thisN,loopcon.thisIndex,loopcon.ran,loopcon.order,key_resp_4.keys,key_resp_4.rt,ratespeed2.response,ratespeed2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt
space,3.440000057,1,0,1,0,1,0,67,A,1,51,Kvinde,ja,5,0,2019-12-11_11h54.23.743,Eksperiment-final,3.1.5,60,IwAR1ZRYz9rmQ0O9ArXW9ZyzRcV5K6kDJ6-wISd3Fk8U1LWlbXDkPliCvdF1o,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,67,A,1,51,Kvinde,ja,5,0,2019-12-11_11h54.23.743,Eksperiment-final,3.1.5,60,IwAR1ZRYz9rmQ0O9ArXW9ZyzRcV5K6kDJ6-wISd3Fk8U1LWlbXDkPliCvdF1o,space,8.200999975,1,0,6,3,1,5,gardin - cykel,,,,,,,,,,,,,,,,
,,,,,,,,67,A,1,51,Kvinde,ja,5,0,2019-12-11_11h54.23.743,Eksperiment-final,3.1.5,60,IwAR1ZRYz9rmQ0O9ArXW9ZyzRcV5K6kDJ6-wISd3Fk8U1LWlbXDkPliCvdF1o,,,1,0,6,4,1,5,tante - skraldespand,,,,,,,,,,,,,,,,
,,,,,,,,67,A,1,51,Kvinde,ja,5,0,2019-12-11_11h54.23.743,Eksperiment-final,3.1.5,60,IwAR1ZRYz9rmQ0O9ArXW9ZyzRcV5K6kDJ6-wISd3Fk8U1LWlbXDkPliCvdF1o,,,1,0,6,0,1,5,kat - båd,,,,,,,,,,,,,,,,
,,,,,,,,67,A,1,51,Kvinde,ja,5,0,2019-12-11_11h54.23.743,Eksperiment-final,3.1.5,60,IwAR1ZRYz9rmQ0O9ArXW9ZyzRcV5K6kDJ6-wISd3Fk8U1LWlbXDkPliCvdF1o,,,1,0,6,5,1,5,plakat - vindue,,,,,,,,,,,,,,,,
,,,,,,,,67,A,1,51,Kvinde,ja,5,0,2019-12-11_11h54.23.743,Eksperiment-final,3.1.5,60,IwAR1ZRYz9rmQ0O9ArXW9ZyzRcV5K6kDJ6-wISd3Fk8U1LWlbXDkPliCvdF1o,,,1,0,6,1,1,5,suppe - blomst,,,,,,,,,,,,,,,,
,,,,,,,,67,A,1,51,Kvinde,ja,5,0,2019-12-11_11h54.23.743,Eksperiment-final,3.1.5,60,IwAR1ZRYz9rmQ0O9ArXW9ZyzRcV5K6kDJ6-wISd3Fk8U1LWlbXDkPliCvdF1o,,,1,0,6,2,1,5,taske - sten,,,,,,,,,,,,,,,,
,,,,,,,,67,A,1,51,Kvinde,ja,5,0,2019-12-11_11h54.23.743,Eksperiment-final,3.1.5,60,IwAR1ZRYz9rmQ0O9ArXW9ZyzRcV5K6kDJ6-wISd3Fk8U1LWlbXDkPliCvdF1o,,,,,,,,,,4.00925933,6.31799984,1,0,1,0,1,0,,,,,,,,
,,,,,,,,67,A,1,51,Kvinde,ja,5,0,2019-12-11_11h54.23.743,Eksperiment-final,3.1.5,60,IwAR1ZRYz9rmQ0O9ArXW9ZyzRcV5K6kDJ6-wISd3Fk8U1LWlbXDkPliCvdF1o,,,,,,,,,,,,,,,,,,n,7.138999939,,,j,4.009000063,space,1.954999924
