key_resp.keys,key_resp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,participant,Condition,Estimate,Alder,Køn,Har De kørekort? (ja/nej),Hvor mange timer om ugen kører De cirka?,Hvor mange timer computer/xbox/andet spiller De om ugen? ,date,expName,psychopyVersion,frameRate,key_resp_2.keys,key_resp_2.rt,dis_loop.thisRepN,dis_loop.thisTrialN,dis_loop.thisN,dis_loop.thisIndex,dis_loop.ran,dis_loop.order,wordpairs,ratespeed1.response,ratespeed1.rt,loopcon.thisRepN,loopcon.thisTrialN,loopcon.thisN,loopcon.thisIndex,loopcon.ran,loopcon.order,key_resp_4.keys,key_resp_4.rt,ratespeed2.response,ratespeed2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt
space,3.304000139,1,0,1,0,1,0,14,B,2,15,Kvinde,Nej,Ingen,Ingen,2019-12-10_19h45.26.157,Eksperiment-final,3.1.5,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,14,B,2,15,Kvinde,Nej,Ingen,Ingen,2019-12-10_19h45.26.157,Eksperiment-final,3.1.5,60,space,5.618000031,1,0,6,4,1,5,tante - skraldespand,,,,,,,,,,,,,,,,
,,,,,,,,14,B,2,15,Kvinde,Nej,Ingen,Ingen,2019-12-10_19h45.26.157,Eksperiment-final,3.1.5,60,,,1,0,6,3,1,5,gardin - cykel,,,,,,,,,,,,,,,,
,,,,,,,,14,B,2,15,Kvinde,Nej,Ingen,Ingen,2019-12-10_19h45.26.157,Eksperiment-final,3.1.5,60,,,1,0,6,2,1,5,taske - sten,,,,,,,,,,,,,,,,
,,,,,,,,14,B,2,15,Kvinde,Nej,Ingen,Ingen,2019-12-10_19h45.26.157,Eksperiment-final,3.1.5,60,,,1,0,6,1,1,5,suppe - blomst,,,,,,,,,,,,,,,,
,,,,,,,,14,B,2,15,Kvinde,Nej,Ingen,Ingen,2019-12-10_19h45.26.157,Eksperiment-final,3.1.5,60,,,1,0,6,0,1,5,kat - båd,,,,,,,,,,,,,,,,
,,,,,,,,14,B,2,15,Kvinde,Nej,Ingen,Ingen,2019-12-10_19h45.26.157,Eksperiment-final,3.1.5,60,,,1,0,6,5,1,5,plakat - vindue,,,,,,,,,,,,,,,,
,,,,,,,,14,B,2,15,Kvinde,Nej,Ingen,Ingen,2019-12-10_19h45.26.157,Eksperiment-final,3.1.5,60,,,,,,,,,,5.009472656,8.460000038,1,0,1,0,1,0,,,,,,,,
,,,,,,,,14,B,2,15,Kvinde,Nej,Ingen,Ingen,2019-12-10_19h45.26.157,Eksperiment-final,3.1.5,60,,,,,,,,,,,,,,,,,,j,7.184000015,5.009472656,8.177999973,j,15.78799987,space,2.93599987
