key_resp.keys,key_resp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,participant,Condition,Estimate,Alder,Køn,Har De kørekort? (ja/nej),Hvor mange timer om ugen kører De cirka?,Hvor mange timer computer/xbox/andet spiller De om ugen? ,date,expName,psychopyVersion,frameRate,key_resp_2.keys,key_resp_2.rt,dis_loop.thisRepN,dis_loop.thisTrialN,dis_loop.thisN,dis_loop.thisIndex,dis_loop.ran,dis_loop.order,wordpairs,ratespeed1.response,ratespeed1.rt,loopcon.thisRepN,loopcon.thisTrialN,loopcon.thisN,loopcon.thisIndex,loopcon.ran,loopcon.order,key_resp_4.keys,key_resp_4.rt,ratespeed2.response,ratespeed2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt
space,3.834000111,1,0,1,0,1,0,24,B,1,15,Mand,nej,1,3,2019-12-10_20h01.07.072,Eksperiment-final,3.1.5,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,24,B,1,15,Mand,nej,1,3,2019-12-10_20h01.07.072,Eksperiment-final,3.1.5,60,space,10.95900011,1,0,6,2,1,5,taske - sten,,,,,,,,,,,,,,,,
,,,,,,,,24,B,1,15,Mand,nej,1,3,2019-12-10_20h01.07.072,Eksperiment-final,3.1.5,60,,,1,0,6,0,1,5,kat - båd,,,,,,,,,,,,,,,,
,,,,,,,,24,B,1,15,Mand,nej,1,3,2019-12-10_20h01.07.072,Eksperiment-final,3.1.5,60,,,1,0,6,1,1,5,suppe - blomst,,,,,,,,,,,,,,,,
,,,,,,,,24,B,1,15,Mand,nej,1,3,2019-12-10_20h01.07.072,Eksperiment-final,3.1.5,60,,,1,0,6,3,1,5,gardin - cykel,,,,,,,,,,,,,,,,
,,,,,,,,24,B,1,15,Mand,nej,1,3,2019-12-10_20h01.07.072,Eksperiment-final,3.1.5,60,,,1,0,6,4,1,5,tante - skraldespand,,,,,,,,,,,,,,,,
,,,,,,,,24,B,1,15,Mand,nej,1,3,2019-12-10_20h01.07.072,Eksperiment-final,3.1.5,60,,,1,0,6,5,1,5,plakat - vindue,,,,,,,,,,,,,,,,
,,,,,,,,24,B,1,15,Mand,nej,1,3,2019-12-10_20h01.07.072,Eksperiment-final,3.1.5,60,,,,,,,,,,2.009008789,7.441999912,1,0,1,0,1,0,,,,,,,,
,,,,,,,,24,B,1,15,Mand,nej,1,3,2019-12-10_20h01.07.072,Eksperiment-final,3.1.5,60,,,,,,,,,,,,,,,,,,n,11.31999993,,,n,6.622000217,space,5.861000061
