key_resp.keys,key_resp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,participant,Condition,Estimate,Alder,Køn,Har De kørekort? (ja/nej),Hvor mange timer om ugen kører De cirka?,Hvor mange timer computer/xbox/andet spiller De om ugen? ,date,expName,psychopyVersion,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,dis_loop.thisRepN,dis_loop.thisTrialN,dis_loop.thisN,dis_loop.thisIndex,dis_loop.ran,dis_loop.order,wordpairs,ratespeed1.response,ratespeed1.rt,loopcon.thisRepN,loopcon.thisTrialN,loopcon.thisN,loopcon.thisIndex,loopcon.ran,loopcon.order,key_resp_4.keys,key_resp_4.rt,ratespeed2.response,ratespeed2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt
space,5.447999954,1,0,1,0,1,0,71,A,1,25,Mand,ja,3,5,2019-12-11_21h20.43.846,Eksperiment-final,3.1.5,60,IwAR0BW2KWXOznI3VXSS6nbTBWp535KrNGRQ0w04Szzy95_YxHq8DRgGBjw7M,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,71,A,1,25,Mand,ja,3,5,2019-12-11_21h20.43.846,Eksperiment-final,3.1.5,60,IwAR0BW2KWXOznI3VXSS6nbTBWp535KrNGRQ0w04Szzy95_YxHq8DRgGBjw7M,space,9.646000147,1,0,6,4,1,5,tante - skraldespand,,,,,,,,,,,,,,,,
,,,,,,,,71,A,1,25,Mand,ja,3,5,2019-12-11_21h20.43.846,Eksperiment-final,3.1.5,60,IwAR0BW2KWXOznI3VXSS6nbTBWp535KrNGRQ0w04Szzy95_YxHq8DRgGBjw7M,,,1,0,6,0,1,5,kat - båd,,,,,,,,,,,,,,,,
,,,,,,,,71,A,1,25,Mand,ja,3,5,2019-12-11_21h20.43.846,Eksperiment-final,3.1.5,60,IwAR0BW2KWXOznI3VXSS6nbTBWp535KrNGRQ0w04Szzy95_YxHq8DRgGBjw7M,,,1,0,6,5,1,5,plakat - vindue,,,,,,,,,,,,,,,,
,,,,,,,,71,A,1,25,Mand,ja,3,5,2019-12-11_21h20.43.846,Eksperiment-final,3.1.5,60,IwAR0BW2KWXOznI3VXSS6nbTBWp535KrNGRQ0w04Szzy95_YxHq8DRgGBjw7M,,,1,0,6,1,1,5,suppe - blomst,,,,,,,,,,,,,,,,
,,,,,,,,71,A,1,25,Mand,ja,3,5,2019-12-11_21h20.43.846,Eksperiment-final,3.1.5,60,IwAR0BW2KWXOznI3VXSS6nbTBWp535KrNGRQ0w04Szzy95_YxHq8DRgGBjw7M,,,1,0,6,3,1,5,gardin - cykel,,,,,,,,,,,,,,,,
,,,,,,,,71,A,1,25,Mand,ja,3,5,2019-12-11_21h20.43.846,Eksperiment-final,3.1.5,60,IwAR0BW2KWXOznI3VXSS6nbTBWp535KrNGRQ0w04Szzy95_YxHq8DRgGBjw7M,,,1,0,6,2,1,5,taske - sten,,,,,,,,,,,,,,,,
,,,,,,,,71,A,1,25,Mand,ja,3,5,2019-12-11_21h20.43.846,Eksperiment-final,3.1.5,60,IwAR0BW2KWXOznI3VXSS6nbTBWp535KrNGRQ0w04Szzy95_YxHq8DRgGBjw7M,,,,,,,,,,3.023148078,9.187999964,1,0,1,0,1,0,,,,,,,,
,,,,,,,,71,A,1,25,Mand,ja,3,5,2019-12-11_21h20.43.846,Eksperiment-final,3.1.5,60,IwAR0BW2KWXOznI3VXSS6nbTBWp535KrNGRQ0w04Szzy95_YxHq8DRgGBjw7M,,,,,,,,,,,,,,,,,,n,9.980000019,,,j,8.140000105,space,4.338000059
