key_resp.keys,key_resp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,participant,Condition,Estimate,Alder,Køn,Har De kørekort? (ja/nej),Hvor mange timer om ugen kører De cirka?,Hvor mange timer computer/xbox/andet spiller De om ugen? ,date,expName,psychopyVersion,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,dis_loop.thisRepN,dis_loop.thisTrialN,dis_loop.thisN,dis_loop.thisIndex,dis_loop.ran,dis_loop.order,wordpairs,ratespeed1.response,ratespeed1.rt,loopcon.thisRepN,loopcon.thisTrialN,loopcon.thisN,loopcon.thisIndex,loopcon.ran,loopcon.order,key_resp_4.keys,key_resp_4.rt,ratespeed2.response,ratespeed2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt
space,4.735000134,1,0,1,0,1,0,87,A,2,16,Mand,nej,0,2,2019-12-12_10h08.36.168,Eksperiment-final,3.1.5,60,IwAR25mpw59P-Sdyjet67MgTvTRWyRifnpB1VMgH6X6v-mx-BOUZ6818sEhYE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,87,A,2,16,Mand,nej,0,2,2019-12-12_10h08.36.168,Eksperiment-final,3.1.5,60,IwAR25mpw59P-Sdyjet67MgTvTRWyRifnpB1VMgH6X6v-mx-BOUZ6818sEhYE,space,10.36500001,1,0,6,2,1,5,taske - sten,,,,,,,,,,,,,,,,
,,,,,,,,87,A,2,16,Mand,nej,0,2,2019-12-12_10h08.36.168,Eksperiment-final,3.1.5,60,IwAR25mpw59P-Sdyjet67MgTvTRWyRifnpB1VMgH6X6v-mx-BOUZ6818sEhYE,,,1,0,6,3,1,5,gardin - cykel,,,,,,,,,,,,,,,,
,,,,,,,,87,A,2,16,Mand,nej,0,2,2019-12-12_10h08.36.168,Eksperiment-final,3.1.5,60,IwAR25mpw59P-Sdyjet67MgTvTRWyRifnpB1VMgH6X6v-mx-BOUZ6818sEhYE,,,1,0,6,5,1,5,plakat - vindue,,,,,,,,,,,,,,,,
,,,,,,,,87,A,2,16,Mand,nej,0,2,2019-12-12_10h08.36.168,Eksperiment-final,3.1.5,60,IwAR25mpw59P-Sdyjet67MgTvTRWyRifnpB1VMgH6X6v-mx-BOUZ6818sEhYE,,,1,0,6,1,1,5,suppe - blomst,,,,,,,,,,,,,,,,
,,,,,,,,87,A,2,16,Mand,nej,0,2,2019-12-12_10h08.36.168,Eksperiment-final,3.1.5,60,IwAR25mpw59P-Sdyjet67MgTvTRWyRifnpB1VMgH6X6v-mx-BOUZ6818sEhYE,,,1,0,6,4,1,5,tante - skraldespand,,,,,,,,,,,,,,,,
,,,,,,,,87,A,2,16,Mand,nej,0,2,2019-12-12_10h08.36.168,Eksperiment-final,3.1.5,60,IwAR25mpw59P-Sdyjet67MgTvTRWyRifnpB1VMgH6X6v-mx-BOUZ6818sEhYE,,,1,0,6,0,1,5,kat - båd,,,,,,,,,,,,,,,,
,,,,,,,,87,A,2,16,Mand,nej,0,2,2019-12-12_10h08.36.168,Eksperiment-final,3.1.5,60,IwAR25mpw59P-Sdyjet67MgTvTRWyRifnpB1VMgH6X6v-mx-BOUZ6818sEhYE,,,,,,,,,,4.027777919,11.81800008,1,0,1,0,1,0,,,,,,,,
,,,,,,,,87,A,2,16,Mand,nej,0,2,2019-12-12_10h08.36.168,Eksperiment-final,3.1.5,60,IwAR25mpw59P-Sdyjet67MgTvTRWyRifnpB1VMgH6X6v-mx-BOUZ6818sEhYE,,,,,,,,,,,,,,,,,,j,6.657000065,3.361111182,4.144999981,j,4.750999928,space,4.93900013
