key_resp.keys,key_resp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,participant,Condition,Estimate,Alder,Køn,Har De kørekort? (ja/nej),Hvor mange timer om ugen kører De cirka?,Hvor mange timer computer/xbox/andet spiller De om ugen? ,date,expName,psychopyVersion,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,dis_loop.thisRepN,dis_loop.thisTrialN,dis_loop.thisN,dis_loop.thisIndex,dis_loop.ran,dis_loop.order,wordpairs,ratespeed1.response,ratespeed1.rt,loopcon.thisRepN,loopcon.thisTrialN,loopcon.thisN,loopcon.thisIndex,loopcon.ran,loopcon.order,key_resp_4.keys,key_resp_4.rt,ratespeed2.response,ratespeed2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt
space,2.752000093,1,0,1,0,1,0,91,A,1,21,Kvinde,Ja,0,0,2019-12-12_10h26.56.650,Eksperiment-final,3.1.5,60,IwAR3UiZy1AbSNPhxDKH1gNSyfqwAI-kvIwZO19zl7OKsiaJWjydx2vGFnAD0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,91,A,1,21,Kvinde,Ja,0,0,2019-12-12_10h26.56.650,Eksperiment-final,3.1.5,60,IwAR3UiZy1AbSNPhxDKH1gNSyfqwAI-kvIwZO19zl7OKsiaJWjydx2vGFnAD0,space,10.35399985,1,0,6,5,1,5,plakat - vindue,,,,,,,,,,,,,,,,
,,,,,,,,91,A,1,21,Kvinde,Ja,0,0,2019-12-12_10h26.56.650,Eksperiment-final,3.1.5,60,IwAR3UiZy1AbSNPhxDKH1gNSyfqwAI-kvIwZO19zl7OKsiaJWjydx2vGFnAD0,,,1,0,6,0,1,5,kat - båd,,,,,,,,,,,,,,,,
,,,,,,,,91,A,1,21,Kvinde,Ja,0,0,2019-12-12_10h26.56.650,Eksperiment-final,3.1.5,60,IwAR3UiZy1AbSNPhxDKH1gNSyfqwAI-kvIwZO19zl7OKsiaJWjydx2vGFnAD0,,,1,0,6,3,1,5,gardin - cykel,,,,,,,,,,,,,,,,
,,,,,,,,91,A,1,21,Kvinde,Ja,0,0,2019-12-12_10h26.56.650,Eksperiment-final,3.1.5,60,IwAR3UiZy1AbSNPhxDKH1gNSyfqwAI-kvIwZO19zl7OKsiaJWjydx2vGFnAD0,,,1,0,6,4,1,5,tante - skraldespand,,,,,,,,,,,,,,,,
,,,,,,,,91,A,1,21,Kvinde,Ja,0,0,2019-12-12_10h26.56.650,Eksperiment-final,3.1.5,60,IwAR3UiZy1AbSNPhxDKH1gNSyfqwAI-kvIwZO19zl7OKsiaJWjydx2vGFnAD0,,,1,0,6,1,1,5,suppe - blomst,,,,,,,,,,,,,,,,
,,,,,,,,91,A,1,21,Kvinde,Ja,0,0,2019-12-12_10h26.56.650,Eksperiment-final,3.1.5,60,IwAR3UiZy1AbSNPhxDKH1gNSyfqwAI-kvIwZO19zl7OKsiaJWjydx2vGFnAD0,,,1,0,6,2,1,5,taske - sten,,,,,,,,,,,,,,,,
,,,,,,,,91,A,1,21,Kvinde,Ja,0,0,2019-12-12_10h26.56.650,Eksperiment-final,3.1.5,60,IwAR3UiZy1AbSNPhxDKH1gNSyfqwAI-kvIwZO19zl7OKsiaJWjydx2vGFnAD0,,,,,,,,,,3,7.34800005,1,0,1,0,1,0,,,,,,,,
,,,,,,,,91,A,1,21,Kvinde,Ja,0,0,2019-12-12_10h26.56.650,Eksperiment-final,3.1.5,60,IwAR3UiZy1AbSNPhxDKH1gNSyfqwAI-kvIwZO19zl7OKsiaJWjydx2vGFnAD0,,,,,,,,,,,,,,,,,,n,5.953000069,,,n,6.736999989,space,2.856999874
