key_resp.keys,key_resp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,participant,Condition,Estimate,Alder,Køn,Har De kørekort? (ja/nej),Hvor mange timer om ugen kører De cirka?,Hvor mange timer computer/xbox/andet spiller De om ugen? ,date,expName,psychopyVersion,frameRate,key_resp_2.keys,key_resp_2.rt,dis_loop.thisRepN,dis_loop.thisTrialN,dis_loop.thisN,dis_loop.thisIndex,dis_loop.ran,dis_loop.order,wordpairs,ratespeed1.response,ratespeed1.rt,loopcon.thisRepN,loopcon.thisTrialN,loopcon.thisN,loopcon.thisIndex,loopcon.ran,loopcon.order,key_resp_4.keys,key_resp_4.rt,ratespeed2.response,ratespeed2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt
space,3.96600008,1,0,1,0,1,0,58,B,2,15,Mand,nej,0,2,2019-12-10_20h49.46.864,Eksperiment-final,3.1.5,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,58,B,2,15,Mand,nej,0,2,2019-12-10_20h49.46.864,Eksperiment-final,3.1.5,60,space,10.36100006,1,0,6,0,1,5,kat - båd,,,,,,,,,,,,,,,,
,,,,,,,,58,B,2,15,Mand,nej,0,2,2019-12-10_20h49.46.864,Eksperiment-final,3.1.5,60,,,1,0,6,3,1,5,gardin - cykel,,,,,,,,,,,,,,,,
,,,,,,,,58,B,2,15,Mand,nej,0,2,2019-12-10_20h49.46.864,Eksperiment-final,3.1.5,60,,,1,0,6,2,1,5,taske - sten,,,,,,,,,,,,,,,,
,,,,,,,,58,B,2,15,Mand,nej,0,2,2019-12-10_20h49.46.864,Eksperiment-final,3.1.5,60,,,1,0,6,5,1,5,plakat - vindue,,,,,,,,,,,,,,,,
,,,,,,,,58,B,2,15,Mand,nej,0,2,2019-12-10_20h49.46.864,Eksperiment-final,3.1.5,60,,,1,0,6,4,1,5,tante - skraldespand,,,,,,,,,,,,,,,,
,,,,,,,,58,B,2,15,Mand,nej,0,2,2019-12-10_20h49.46.864,Eksperiment-final,3.1.5,60,,,1,0,6,1,1,5,suppe - blomst,,,,,,,,,,,,,,,,
,,,,,,,,58,B,2,15,Mand,nej,0,2,2019-12-10_20h49.46.864,Eksperiment-final,3.1.5,60,,,,,,,,,,2.995361328,10.81900001,1,0,1,0,1,0,,,,,,,,
,,,,,,,,58,B,2,15,Mand,nej,0,2,2019-12-10_20h49.46.864,Eksperiment-final,3.1.5,60,,,,,,,,,,,,,,,,,,j,6.25,2.001831055,2.467000008,n,4.997999907,space,2.750999928
