key_resp.keys,key_resp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,participant,Condition,Estimate,Alder,Køn,Har De kørekort? (ja/nej),Hvor mange timer om ugen kører De cirka?,Hvor mange timer computer/xbox/andet spiller De om ugen? ,date,expName,psychopyVersion,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,dis_loop.thisRepN,dis_loop.thisTrialN,dis_loop.thisN,dis_loop.thisIndex,dis_loop.ran,dis_loop.order,wordpairs,ratespeed1.response,ratespeed1.rt,loopcon.thisRepN,loopcon.thisTrialN,loopcon.thisN,loopcon.thisIndex,loopcon.ran,loopcon.order,key_resp_4.keys,key_resp_4.rt,ratespeed2.response,ratespeed2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt
space,2.616000175,1,0,1,0,1,0,63,A,2,49,Kvinde,ja,5,2,2019-12-10_22h25.27.033,Eksperiment-final,3.1.5,60,IwAR0BKZ0hes5gcMfEOLWsSkJ87mU2fxN0s2vs6OBSLpyM37iz05LjlTv8OyE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,63,A,2,49,Kvinde,ja,5,2,2019-12-10_22h25.27.033,Eksperiment-final,3.1.5,60,IwAR0BKZ0hes5gcMfEOLWsSkJ87mU2fxN0s2vs6OBSLpyM37iz05LjlTv8OyE,space,8.404000044,1,0,6,4,1,5,tante - skraldespand,,,,,,,,,,,,,,,,
,,,,,,,,63,A,2,49,Kvinde,ja,5,2,2019-12-10_22h25.27.033,Eksperiment-final,3.1.5,60,IwAR0BKZ0hes5gcMfEOLWsSkJ87mU2fxN0s2vs6OBSLpyM37iz05LjlTv8OyE,,,1,0,6,3,1,5,gardin - cykel,,,,,,,,,,,,,,,,
,,,,,,,,63,A,2,49,Kvinde,ja,5,2,2019-12-10_22h25.27.033,Eksperiment-final,3.1.5,60,IwAR0BKZ0hes5gcMfEOLWsSkJ87mU2fxN0s2vs6OBSLpyM37iz05LjlTv8OyE,,,1,0,6,1,1,5,suppe - blomst,,,,,,,,,,,,,,,,
,,,,,,,,63,A,2,49,Kvinde,ja,5,2,2019-12-10_22h25.27.033,Eksperiment-final,3.1.5,60,IwAR0BKZ0hes5gcMfEOLWsSkJ87mU2fxN0s2vs6OBSLpyM37iz05LjlTv8OyE,,,1,0,6,0,1,5,kat - båd,,,,,,,,,,,,,,,,
,,,,,,,,63,A,2,49,Kvinde,ja,5,2,2019-12-10_22h25.27.033,Eksperiment-final,3.1.5,60,IwAR0BKZ0hes5gcMfEOLWsSkJ87mU2fxN0s2vs6OBSLpyM37iz05LjlTv8OyE,,,1,0,6,2,1,5,taske - sten,,,,,,,,,,,,,,,,
,,,,,,,,63,A,2,49,Kvinde,ja,5,2,2019-12-10_22h25.27.033,Eksperiment-final,3.1.5,60,IwAR0BKZ0hes5gcMfEOLWsSkJ87mU2fxN0s2vs6OBSLpyM37iz05LjlTv8OyE,,,1,0,6,5,1,5,plakat - vindue,,,,,,,,,,,,,,,,
,,,,,,,,63,A,2,49,Kvinde,ja,5,2,2019-12-10_22h25.27.033,Eksperiment-final,3.1.5,60,IwAR0BKZ0hes5gcMfEOLWsSkJ87mU2fxN0s2vs6OBSLpyM37iz05LjlTv8OyE,,,,,,,,,,1.981481587,6.38499999,1,0,1,0,1,0,,,,,,,,
,,,,,,,,63,A,2,49,Kvinde,ja,5,2,2019-12-10_22h25.27.033,Eksperiment-final,3.1.5,60,IwAR0BKZ0hes5gcMfEOLWsSkJ87mU2fxN0s2vs6OBSLpyM37iz05LjlTv8OyE,,,,,,,,,,,,,,,,,,n,4.989000082,,,n,7.679999828,space,2.388000011
