key_resp.keys,key_resp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,participant,Condition,Estimate,Alder,Køn,Har De kørekort? (ja/nej),Hvor mange timer om ugen kører De cirka?,Hvor mange timer computer/xbox/andet spiller De om ugen? ,date,expName,psychopyVersion,frameRate,key_resp_2.keys,key_resp_2.rt,dis_loop.thisRepN,dis_loop.thisTrialN,dis_loop.thisN,dis_loop.thisIndex,dis_loop.ran,dis_loop.order,wordpairs,ratespeed1.response,ratespeed1.rt,loopcon.thisRepN,loopcon.thisTrialN,loopcon.thisN,loopcon.thisIndex,loopcon.ran,loopcon.order,key_resp_4.keys,key_resp_4.rt,ratespeed2.response,ratespeed2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt
space,3.531000137,1,0,1,0,1,0,82,B,2,41,Mand,ja,15,0,2019-12-11_12h37.54.868,Eksperiment-final,3.1.5,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,82,B,2,41,Mand,ja,15,0,2019-12-11_12h37.54.868,Eksperiment-final,3.1.5,60,space,6.584000111,1,0,6,4,1,5,tante - skraldespand,,,,,,,,,,,,,,,,
,,,,,,,,82,B,2,41,Mand,ja,15,0,2019-12-11_12h37.54.868,Eksperiment-final,3.1.5,60,,,1,0,6,1,1,5,suppe - blomst,,,,,,,,,,,,,,,,
,,,,,,,,82,B,2,41,Mand,ja,15,0,2019-12-11_12h37.54.868,Eksperiment-final,3.1.5,60,,,1,0,6,5,1,5,plakat - vindue,,,,,,,,,,,,,,,,
,,,,,,,,82,B,2,41,Mand,ja,15,0,2019-12-11_12h37.54.868,Eksperiment-final,3.1.5,60,,,1,0,6,0,1,5,kat - båd,,,,,,,,,,,,,,,,
,,,,,,,,82,B,2,41,Mand,ja,15,0,2019-12-11_12h37.54.868,Eksperiment-final,3.1.5,60,,,1,0,6,2,1,5,taske - sten,,,,,,,,,,,,,,,,
,,,,,,,,82,B,2,41,Mand,ja,15,0,2019-12-11_12h37.54.868,Eksperiment-final,3.1.5,60,,,1,0,6,3,1,5,gardin - cykel,,,,,,,,,,,,,,,,
,,,,,,,,82,B,2,41,Mand,ja,15,0,2019-12-11_12h37.54.868,Eksperiment-final,3.1.5,60,,,,,,,,,,4.007250977,13.32500005,1,0,1,0,1,0,,,,,,,,
,,,,,,,,82,B,2,41,Mand,ja,15,0,2019-12-11_12h37.54.868,Eksperiment-final,3.1.5,60,,,,,,,,,,,,,,,,,,j,14.91199994,2.974023438,3.105999947,n,5.130999804,space,3.450999975
